date,channelgrouping,cost,currency,market
01/01/2018,adwords,56.05,EUR,Lat.Am.
01/01/2018,adwords,57,EUR,Europe
01/01/2018,blog,0,EUR,Lat.Am.
01/01/2018,blog,0,EUR,Europe
01/01/2018,direct,0,EUR,Lat.Am.
01/01/2018,direct,0,EUR,Europe
01/01/2018,facebook,5.5,EUR,Lat.Am.
01/01/2018,facebook,5.4,EUR,Europe
01/01/2018,search_brand,19.36,EUR,Lat.Am.
01/01/2018,search_brand,19.8,EUR,Europe
01/01/2018,search_organic,0,EUR,Lat.Am.
01/01/2018,search_organic,0,EUR,Europe
02/01/2018,adwords,25.48,EUR,Lat.Am.
02/01/2018,adwords,26,EUR,Europe
02/01/2018,blog,0,EUR,Lat.Am.
02/01/2018,blog,0,EUR,Europe
02/01/2018,direct,0,EUR,Lat.Am.
02/01/2018,direct,0,EUR,Europe
02/01/2018,facebook,49.88,EUR,Lat.Am.
02/01/2018,facebook,61.48,EUR,Europe
02/01/2018,search_brand,53.76,EUR,Lat.Am.
02/01/2018,search_brand,52.64,EUR,Europe
02/01/2018,search_organic,0,EUR,Lat.Am.
02/01/2018,search_organic,0,EUR,Europe
03/01/2018,adwords,50.4,EUR,Lat.Am.
03/01/2018,adwords,68.4,EUR,Europe
03/01/2018,blog,0,EUR,Lat.Am.
03/01/2018,blog,0,EUR,Europe
03/01/2018,facebook,33.39,EUR,Lat.Am.
03/01/2018,facebook,25.2,EUR,Europe
03/01/2018,search_brand,77.38,EUR,Lat.Am.
03/01/2018,search_brand,75.92,EUR,Europe
04/01/2018,adwords,28.38,EUR,Lat.Am.
04/01/2018,adwords,36.96,EUR,Europe
04/01/2018,blog,0,EUR,Lat.Am.
04/01/2018,blog,0,EUR,Europe
04/01/2018,direct,0,EUR,Lat.Am.
04/01/2018,direct,0,EUR,Europe
04/01/2018,facebook,78.52,EUR,Lat.Am.
04/01/2018,facebook,81.54,EUR,Europe
04/01/2018,search_brand,78.02,EUR,Lat.Am.
04/01/2018,search_brand,71.38,EUR,Europe
04/01/2018,search_organic,0,EUR,Lat.Am.
04/01/2018,search_organic,0,EUR,Europe
05/01/2018,adwords,7.41,EUR,Lat.Am.
05/01/2018,adwords,7.15,EUR,Europe
05/01/2018,blog,0,EUR,Lat.Am.
05/01/2018,blog,0,EUR,Europe
05/01/2018,direct,0,EUR,Lat.Am.
05/01/2018,direct,0,EUR,Europe
05/01/2018,facebook,132,EUR,Lat.Am.
05/01/2018,facebook,121,EUR,Europe
05/01/2018,search_brand,48.06,EUR,Lat.Am.
05/01/2018,search_brand,46.28,EUR,Europe
05/01/2018,search_organic,0,EUR,Lat.Am.
05/01/2018,search_organic,0,EUR,Europe
06/01/2018,adwords,43.26,EUR,Lat.Am.
06/01/2018,adwords,55.62,EUR,Europe
06/01/2018,blog,0,EUR,Lat.Am.
06/01/2018,blog,0,EUR,Europe
06/01/2018,direct,0,EUR,Lat.Am.
06/01/2018,direct,0,EUR,Europe
06/01/2018,facebook,72,EUR,Lat.Am.
06/01/2018,facebook,72,EUR,Europe
06/01/2018,search_brand,47,EUR,Lat.Am.
06/01/2018,search_brand,56,EUR,Europe
06/01/2018,search_organic,0,EUR,Lat.Am.
06/01/2018,search_organic,0,EUR,Europe
07/01/2018,adwords,31.36,EUR,Lat.Am.
07/01/2018,adwords,28.56,EUR,Europe
07/01/2018,blog,0,EUR,Lat.Am.
07/01/2018,blog,0,EUR,Europe
07/01/2018,direct,0,EUR,Lat.Am.
07/01/2018,direct,0,EUR,Europe
07/01/2018,facebook,23.65,EUR,Lat.Am.
07/01/2018,facebook,20.64,EUR,Europe
07/01/2018,search_brand,32.64,EUR,Lat.Am.
07/01/2018,search_brand,39.44,EUR,Europe
07/01/2018,search_organic,0,EUR,Lat.Am.
