merchantid,orderid,date,unit_count,product_type,unit_price,currency,market,lifetime_value
375793,77777,05/02/2020,1,3G,39,EUR,Europe,136.29
447797,77778,01/04/2020,1,3G,79,EUR,Europe,641.92
527002,77779,14/07/2019,1,3G,39,EUR,Europe,301.44
150290,77780,23/01/2020,1,3G,39,EUR,Europe,266.51
757099,77781,17/04/2020,1,SUPER,18,EUR,Lat.Am.,0
593998,77782,20/09/2019,1,TOTAL,29,EUR,Lat.Am.,237.06
294499,77783,28/05/2020,1,3G,79,EUR,Europe,92.88
344798,77784,17/01/2020,1,AIR,49,EUR,Europe,106.71
468196,77785,29/07/2020,6,SUPER,25,EUR,Lat.Am.,435.04
586864,77786,15/07/2020,3,AIR,19,EUR,Europe,318.16
267746,77787,02/07/2020,1,AIR,49,EUR,Europe,483.1
139923,77788,13/06/2020,1,SUPER,18,EUR,Lat.Am.,351.28
657915,77789,21/03/2020,1,3G,39,EUR,Europe,563.64
623819,77790,14/12/2019,1,SUPER,18,EUR,Lat.Am.,0
396521,77791,28/07/2020,1,TOTAL,39,EUR,Lat.Am.,280.12
634239,77792,30/07/2020,1,3G,39,EUR,Europe,739.99
417988,77793,25/07/2020,1,AIR,29,EUR,Europe,239.3
215526,77794,12/04/2020,1,SUPER,35,EUR,Lat.Am.,154.83
774950,77795,25/07/2020,1,SUPER,25,EUR,Lat.Am.,251.87
192630,77796,12/06/2020,1,TOTAL,39,EUR,Lat.Am.,437.92
489418,77797,30/04/2020,3,AIR,49,EUR,Europe,103.58
301630,77798,04/07/2020,1,3G,39,EUR,Europe,499.03
539019,77799,26/07/2020,1,AIR,29,EUR,Europe,509.11
398405,77800,14/06/2020,1,SUPER,25,EUR,Lat.Am.,348.02
396733,77801,08/07/2020,1,TOTAL,39,EUR,Lat.Am.,440.34
237356,77802,02/07/2020,1,3G,79,EUR,Europe,615.42
622853,77803,04/07/2020,1,SUPER,25,EUR,Lat.Am.,427.55
594384,77804,30/07/2020,1,3G,79,EUR,Europe,237.55
426640,77805,25/07/2020,1,AIR,49,EUR,Europe,33.23
225562,77806,24/06/2020,1,AIR,19,EUR,Europe,163.5
402606,77807,22/07/2020,1,AIR,19,EUR,Europe,131.77
385956,77808,28/06/2020,1,AIR,29,EUR,Europe,0
333744,77809,20/07/2020,1,AIR,19,EUR,Europe,689.61
219900,77810,03/06/2020,1,AIR,19,EUR,Europe,512.13
485857,77811,08/07/2020,1,3G,79,EUR,Europe,221.92
571232,77812,23/07/2020,1,TOTAL,39,EUR,Lat.Am.,38.38
362106,77813,30/07/2020,4,3G,79,EUR,Europe,571.96
733604,77814,25/05/2020,1,AIR,49,EUR,Europe,460.08
117144,77815,09/07/2020,3,AIR,19,EUR,Europe,456.7
356937,77816,26/07/2020,1,TOTAL,39,EUR,Lat.Am.,419.42
140863,77817,03/07/2020,1,3G,39,EUR,Europe,149.72
735425,77818,30/06/2020,1,3G,79,EUR,Europe,148.27
590542,77819,06/07/2020,1,AIR,29,EUR,Europe,525.02
522311,77820,01/07/2020,1,SUPER,35,EUR,Lat.Am.,0
116943,77821,31/07/2020,1,SUPER,35,EUR,Lat.Am.,22.17
454556,77822,17/07/2020,1,SUPER,18,EUR,Lat.Am.,552.45
337600,77823,18/05/2020,1,3G,79,EUR,Europe,370.62
699466,77824,22/07/2020,1,SUPER,25,EUR,Lat.Am.,333.5
525240,77825,14/03/2020,2,3G,79,EUR,Europe,225.26
81122,77826,23/07/2020,1,AIR,19,EUR,Europe,944.68
594400,77827,12/05/2020,1,SUPER,25,EUR,Lat.Am.,64.19
653228,77828,24/07/2020,1,TOTAL,39,EUR,Lat.Am.,317.39
316768,77829,21/06/2020,4,3G,79,EUR,Europe,680.03
197677,77830,21/05/2020,1,SUPER,18,EUR,Lat.Am.,154.71
121058,77831,23/07/2020,1,3G,79,EUR,Europe,144.26
267440,77832,04/07/2020,1,AIR,19,EUR,Europe,282.89
177601,77833,17/05/2020,1,AIR,49,EUR,Europe,0
129076,77834,17/07/2020,1,AIR,19,EUR,Europe,356.46
166169,77835,14/07/2020,1,AIR,19,EUR,Europe,268.33
70971,77836,13/06/2020,1,AIR,29,EUR,Europe,620.39
378449,77837,05/04/2020,1,3G,39,EUR,Europe,745.59
624854,77838,08/06/2020,1,SUPER,18,EUR,Lat.Am.,135.23
378245,77839,28/06/2020,1,3G,79,EUR,Europe,175.16
653885,77840,15/03/2020,1,3G,79,EUR,Europe,118.63
376230,77841,21/02/2019,1,AIR,19,EUR,Europe,356.08
667780,77842,19/10/2019,1,AIR,29,EUR,Europe,0
135310,77843,22/06/2020,3,3G,79,EUR,Europe,0
651800,77844,19/01/2020,1,TOTAL,29,EUR,Lat.Am.,428.11
