date,channelgrouping,merchantid,fullvisitorid,orderid,goal_fk,market
01/01/2018 10:12:27,search_organic,,6.51E+14,,1,Lat.Am.
01/01/2018 10:34:59,blog,,6.61E+14,,1,Europe
01/01/2018 10:50:14,adwords,110847,6.57E+14,87082,2,Lat.Am.
01/01/2018 17:38:02,search_brand,,6.66E+14,,1,Europe
01/01/2018 18:36:30,adwords,,6.61E+14,,1,Europe
01/01/2018 19:18:23,search_brand,61467,6.65E+14,83438,3,Europe
01/01/2018 20:31:18,direct,,6.51E+14,,1,Europe
01/01/2018 20:48:10,search_brand,152663,6.51E+14,104593,2,Europe
01/01/2018 20:48:10,facebook,139172,6.74E+14,100795,3,Lat.Am.
02/01/2018 00:19:20,adwords,110847,6.57E+14,87082,3,Lat.Am.
02/01/2018 03:53:29,blog,711564,6.60E+14,79509,2,Europe
02/01/2018 04:13:35,adwords,152663,6.51E+14,104593,3,Europe
02/01/2018 04:19:07,adwords,,6.51E+14,,1,Europe
02/01/2018 05:30:54,facebook,655968,6.54E+14,94466,2,Lat.Am.
02/01/2018 13:14:42,search_brand,,6.74E+14,,1,Europe
02/01/2018 13:30:38,direct,,6.76E+14,,1,Europe
02/01/2018 14:40:47,search_organic,704890,6.72E+14,83868,3,Europe
02/01/2018 19:04:14,facebook,,6.52E+14,,1,Europe
02/01/2018 20:24:05,search_brand,305163,6.59E+14,103623,2,Europe
02/01/2018 20:33:00,facebook,,6.61E+14,,1,Lat.Am.
02/01/2018 22:25:55,direct,416341,6.80E+14,80977,3,Lat.Am.
02/01/2018 22:43:55,adwords,,6.85E+14,,1,Europe
03/01/2018 02:22:06,search_organic,,6.83E+14,,1,Europe
03/01/2018 02:50:01,blog,162167,6.59E+14,91646,2,Lat.Am.
03/01/2018 04:15:42,adwords,402234,6.73E+14,103039,3,Lat.Am.
03/01/2018 04:16:27,facebook,,6.52E+14,,1,Europe
03/01/2018 06:10:41,facebook,471447,6.80E+14,93432,3,Europe
03/01/2018 06:12:44,adwords,,6.79E+14,,1,Europe
03/01/2018 08:03:09,blog,162167,6.59E+14,91646,2,Lat.Am.
03/01/2018 08:04:44,search_brand,,6.67E+14,,1,Europe
03/01/2018 08:35:55,search_organic,390146,6.74E+14,77827,3,Lat.Am.
03/01/2018 10:22:15,facebook,103185,6.62E+14,95307,2,Europe
03/01/2018 10:23:20,facebook,,6.78E+14,,1,Europe
03/01/2018 13:56:11,adwords,162167,6.59E+14,91646,2,Lat.Am.
03/01/2018 14:21:52,search_brand,146599,6.74E+14,84435,3,Europe
03/01/2018 15:09:53,search_brand,449951,6.79E+14,83726,3,Europe
03/01/2018 15:15:12,facebook,432140,6.61E+14,97912,2,Lat.Am.
03/01/2018 15:52:17,search_brand,,6.48E+14,,1,Europe
03/01/2018 15:52:24,adwords,162167,6.59E+14,91646,3,Lat.Am.
03/01/2018 18:25:54,search_brand,711564,6.60E+14,79509,3,Europe
03/01/2018 18:38:49,blog,614006,6.62E+14,97801,2,Europe
03/01/2018 18:39:16,search_brand,,6.56E+14,,1,Europe
03/01/2018 20:52:56,adwords,,6.84E+14,,1,Europe
03/01/2018 21:34:34,blog,432140,6.61E+14,97912,3,Lat.Am.
03/01/2018 22:07:06,search_brand,309712,6.85E+14,104187,3,Europe
03/01/2018 23:33:19,adwords,,6.51E+14,,1,Europe
04/01/2018 00:13:31,search_brand,205983,6.51E+14,77795,2,Lat.Am.
04/01/2018 01:33:15,adwords,276990,6.49E+14,89884,2,Europe
04/01/2018 01:42:52,search_brand,684128,6.79E+14,88083,3,Europe
04/01/2018 02:02:55,facebook,,6.55E+14,,1,Europe
04/01/2018 04:13:20,search_brand,,6.80E+14,,1,Europe
04/01/2018 09:20:45,facebook,,6.48E+14,,1,Europe
04/01/2018 10:39:21,adwords,769327,6.82E+14,85230,3,Europe
04/01/2018 10:53:47,adwords,,6.56E+14,,1,Europe
04/01/2018 13:11:50,search_brand,,6.51E+14,,1,Lat.Am.
04/01/2018 14:30:05,facebook,372737,6.72E+14,92771,3,Europe
04/01/2018 15:51:13,search_brand,211703,6.49E+14,97138,2,Europe
04/01/2018 16:41:03,search_brand,733921,6.57E+14,103203,2,Europe
04/01/2018 17:13:07,search_organic,,6.77E+14,,1,Europe
04/01/2018 17:44:27,facebook,,6.51E+14,,1,Europe
04/01/2018 19:50:16,search_brand,,6.71E+14,,1,Europe
04/01/2018 20:16:40,adwords,397942,6.49E+14,102145,2,Lat.Am.
04/01/2018 21:17:14,facebook,,6.80E+14,,1,Europe
04/01/2018 23:17:39,facebook,553952,6.65E+14,99361,3,Europe
05/01/2018 00:12:26,search_brand,550724,6.80E+14,92118,3,Lat.Am.
05/01/2018 00:20:52,search_brand,430566,6.52E+14,102520,2,Lat.Am.
05/01/2018 00:30:58,blog,456672,6.61E+14,84951,2,Europe
05/01/2018 00:50:34,facebook,,6.61E+14,,1,Europe
05/01/2018 01:30:46,blog,,6.63E+14,,1,Europe
05/01/2018 02:25:55,blog,,6.61E+14,,1,Europe
05/01/2018 02:28:25,search_organic,,6.76E+14,,1,Europe
05/01/2018 03:38:42,adwords,557673,6.76E+14,83475,3,Lat.Am.
05/01/2018 04:00:43,facebook,,6.66E+14,,1,Europe
05/01/2018 04:09:35,facebook,,6.75E+14,,1,Europe
05/01/2018 04:19:20,facebook,756751,6.55E+14,87536,2,Lat.Am.
05/01/2018 05:47:15,facebook,,6.54E+14,,1,Lat.Am.
05/01/2018 06:05:38,search_brand,,6.63E+14,,1,Europe
05/01/2018 06:26:54,search_brand,,6.65E+14,,1,Europe
05/01/2018 06:31:40,facebook,,6.77E+14,,1,Europe
05/01/2018 06:37:43,facebook,,6.70E+14,,1,Lat.Am.
05/01/2018 06:50:56,direct,,6.50E+14,,1,Europe
05/01/2018 06:54:14,facebook,,6.57E+14,,1,Lat.Am.
05/01/2018 07:18:56,search_brand,435370,6.82E+14,99688,3,Lat.Am.
05/01/2018 08:28:58,facebook,,6.60E+14,,1,Europe
05/01/2018 10:56:41,direct,456672,6.61E+14,84951,3,Europe
05/01/2018 11:18:52,search_brand,,6.73E+14,,1,Europe
05/01/2018 12:05:46,direct,481221,6.56E+14,101398,2,Europe
05/01/2018 13:56:47,direct,,6.54E+14,,1,Europe
05/01/2018 14:17:51,search_organic,,6.64E+14,,1,Europe
05/01/2018 15:22:36,adwords,430566,6.52E+14,102520,3,Lat.Am.
05/01/2018 15:38:13,facebook,,6.67E+14,,1,Europe
05/01/2018 15:55:24,search_organic,,6.59E+14,,1,Europe
05/01/2018 16:55:36,facebook,,6.51E+14,,1,Europe
05/01/2018 17:18:42,adwords,481221,6.56E+14,101398,3,Europe
05/01/2018 18:47:19,search_brand,,6.57E+14,,1,Lat.Am.
05/01/2018 19:26:50,direct,179116,6.78E+14,101713,3,Europe
05/01/2018 19:52:10,facebook,,6.54E+14,,1,Europe
05/01/2018 20:26:39,facebook,349877,6.75E+14,99279,3,Lat.Am.
05/01/2018 20:52:39,search_organic,,6.55E+14,,1,Lat.Am.
05/01/2018 22:40:36,search_brand,,6.84E+14,,1,Europe
05/01/2018 23:04:46,search_brand,,6.71E+14,,1,Europe
06/01/2018 00:08:56,facebook,,6.51E+14,,1,Lat.Am.
06/01/2018 02:34:31,direct,354350,6.77E+14,80068,3,Lat.Am.
06/01/2018 02:47:30,direct,,6.53E+14,,1,Lat.Am.
06/01/2018 04:02:35,facebook,,6.53E+14,,1,Lat.Am.
06/01/2018 04:04:40,facebook,,6.55E+14,,1,Lat.Am.
06/01/2018 04:18:48,blog,,6.60E+14,,1,Europe
06/01/2018 04:25:22,facebook,222969,6.73E+14,103592,3,Europe
06/01/2018 05:06:41,facebook,663973,6.76E+14,78919,3,Lat.Am.
06/01/2018 05:15:32,search_organic,70351,6.56E+14,89145,2,Europe
06/01/2018 05:44:59,direct,,6.58E+14,,1,Europe
06/01/2018 06:02:11,facebook,82993,6.53E+14,89192,2,Europe
06/01/2018 07:01:54,facebook,442861,6.72E+14,100633,3,Europe
06/01/2018 07:14:41,blog,633066,6.63E+14,89785,2,Europe
06/01/2018 09:43:20,search_brand,,6.76E+14,,1,Europe
06/01/2018 09:45:35,adwords,,6.54E+14,,1,Europe
06/01/2018 10:00:21,adwords,603324,6.58E+14,85926,2,Lat.Am.
06/01/2018 13:54:06,search_brand,,6.53E+14,,1,Lat.Am.
06/01/2018 14:09:29,facebook,,6.53E+14,,1,Europe
06/01/2018 14:46:05,direct,406333,6.53E+14,94569,2,Europe
06/01/2018 14:59:24,search_brand,,6.79E+14,,1,Lat.Am.
06/01/2018 15:12:47,adwords,,6.63E+14,,1,Lat.Am.
06/01/2018 15:31:36,adwords,85736,6.74E+14,86870,3,Lat.Am.
06/01/2018 16:07:15,blog,,6.59E+14,,1,Lat.Am.
06/01/2018 17:13:08,adwords,,6.85E+14,,1,Europe
06/01/2018 18:07:10,search_organic,224755,6.75E+14,88607,3,Lat.Am.
06/01/2018 19:31:56,search_organic,406333,6.53E+14,94569,3,Europe
06/01/2018 20:19:41,adwords,,6.52E+14,,1,Europe
06/01/2018 21:06:45,search_brand,581251,6.82E+14,87504,3,Europe
06/01/2018 21:41:03,facebook,673330,6.58E+14,103216,2,Europe
06/01/2018 21:42:53,blog,,6.63E+14,,1,Lat.Am.
06/01/2018 21:51:37,adwords,,6.74E+14,,1,Lat.Am.
06/01/2018 22:08:44,direct,713335,6.60E+14,87177,2,Lat.Am.
06/01/2018 22:35:26,facebook,,6.67E+14,,1,Europe
07/01/2018 01:17:10,search_brand,633066,6.63E+14,89785,3,Europe
07/01/2018 01:34:49,direct,587649,6.53E+14,80902,2,Europe
